21/04/2022,16.70,16.70,-0.40 (-2.34 %)," ","829,804","13,759,672,000",0,0,17.10,17.1,17.90,15.80
20/04/2022,17.10,17.10,-0.80 (-4.47 %)," ","733,100","12,939,750,000",0,0,17.90,18.00,18.30,17.10
19/04/2022,17.90,17.90,-1.90 (-9.60 %)," ","715,779","13,893,778,200",0,0,19.80,19.8,20.30,17.90
18/04/2022,19.80,19.80,-2.20 (-10.00 %)," ","1,465,118","29,735,952,300",0,0,22.00,22.00,22.10,19.80
14/04/2022,22.50,22.50,-0.50 (-2.17 %)," ","631,080","14,348,123,500",0,0,23.00,23.1,23.20,21.20
13/04/2022,23.00,23.00,0.60 (2.68 %)," ","1,091,549","24,408,665,500",0,0,22.40,22.40,23.20,21.20
12/04/2022,22.40,22.40,-1.90 (-7.82 %)," ","1,181,561","28,792,289,200",0,0,24.30,24.5,25.20,22.40
08/04/2022,24.30,24.30,0.30 (1.25 %)," ","797,907","19,389,212,500","8,400","207,480,000",24.00,24.10,25.00,23.60
07/04/2022,24.00,24.00,-0.70 (-2.83 %)," ","781,323","19,025,172,700",0,0,24.70,25.3,25.40,23.70
06/04/2022,24.70,24.70,0.40 (1.65 %)," ","2,136,884","53,250,309,000",0,0,24.30,24.30,25.50,23.80
05/04/2022,24.30,24.30,0.20 (0.83 %)," ","552,267","13,395,294,900",0,0,24.10,24.1,24.40,24.00
04/04/2022,24.10,24.10,0.70 (2.99 %)," ","947,932","22,420,150,800",0,0,23.40,23.80,24.50,23.10
01/04/2022,23.40,23.40,0.40 (1.74 %)," ","1,345,452","30,716,964,400",0,0,23.00,23.1,23.70,22.30
31/03/2022,23.00,23.00,-1.50 (-6.12 %)," ","1,281,491","30,691,516,000",0,0,24.50,24.50,24.90,23.00
30/03/2022,24.50,24.50,-1.20 (-4.67 %)," ","1,589,324","39,630,866,900",0,0,25.70,25.7,25.80,24.20
29/03/2022,25.70,25.70,0.70 (2.80 %)," ","2,324,178","59,009,154,600",0,0,25.00,24.90,25.90,24.80
28/03/2022,25.00,25.00,0.20 (0.81 %)," ","2,008,025","50,072,120,300",52,"1,164,800",24.80,24.8,25.60,24.20
25/03/2022,24.80,24.80,-0.40 (-1.59 %)," ","969,071","24,150,476,500",0,0,25.20,25.50,25.50,24.70
24/03/2022,25.20,25.20,1.30 (5.44 %)," ","2,566,972","63,829,870,600",0,0,23.90,23.9,25.30,23.60
Giá mở cửa,22/04/2022,16.90,16.90,0.20 (1.20 %),"  ","440,793","7,497,606,300",0,0,16.70,16.80,17.60
16.20,,,21/04/2022,16.70,16.70,-0.40 (-2.34 %),"  ","829,804","13,759,672,000",0,0,17.10
17.1,17.90,15.80,,,20/04/2022,17.10,17.10,-0.80 (-4.47 %),"  ","733,100","12,939,750,000",0
0,17.90,18.00,18.30,17.10,,,19/04/2022,17.90,17.90,-1.90 (-9.60 %),"  ","715,779"
"13,893,778,200",0,0,19.80,19.8,20.30,17.90,,,18/04/2022,19.80,19.80,-2.20 (-10.00 %)
"  ","1,465,118","29,735,952,300",0,0,22.00,22.00,22.10,19.80,,,14/04/2022,22.50
22.50,-0.50 (-2.17 %),"  ","631,080","14,348,123,500",0,0,23.00,23.1,23.20,21.20,,
13/04/2022,23.00,23.00,0.60 (2.68 %),"  ","1,091,549","24,408,665,500",0,0,22.40,22.40,23.20,21.20
,,12/04/2022,22.40,22.40,-1.90 (-7.82 %),"  ","1,181,561","28,792,289,200",0,0,24.30,24.5
25.20,22.40,,,08/04/2022,24.30,24.30,0.30 (1.25 %),"  ","797,907","19,389,212,500","8,400","207,480,000"
24.00,24.10,25.00,23.60,,,07/04/2022,24.00,24.00,-0.70 (-2.83 %),"  ","781,323","19,025,172,700"
0,0,24.70,25.3,25.40,23.70,,,06/04/2022,24.70,24.70,0.40 (1.65 %),"  "
"2,136,884","53,250,309,000",0,0,24.30,24.30,25.50,23.80,,,05/04/2022,24.30,24.30
0.20 (0.83 %),"  ","552,267","13,395,294,900",0,0,24.10,24.1,24.40,24.00,,,04/04/2022
24.10,24.10,0.70 (2.99 %),"  ","947,932","22,420,150,800",0,0,23.40,23.80,24.50,23.10,
,01/04/2022,23.40,23.40,0.40 (1.74 %),"  ","1,345,452","30,716,964,400",0,0,23.00,23.1,23.70
22.30,,,31/03/2022,23.00,23.00,-1.50 (-6.12 %),"  ","1,281,491","30,691,516,000",0,0,24.50
24.50,24.90,23.00,,,30/03/2022,24.50,24.50,-1.20 (-4.67 %),"  ","1,589,324","39,630,866,900",0
0,25.70,25.7,25.80,24.20,,,29/03/2022,25.70,25.70,0.70 (2.80 %),"  ","2,324,178"
"59,009,154,600",0,0,25.00,24.90,25.90,24.80,,,28/03/2022,25.00,25.00,0.20 (0.81 %)
"  ","2,008,025","50,072,120,300",52,"1,164,800",24.80,24.8,25.60,24.20,,,25/03/2022,24.80
24.80,-0.40 (-1.59 %),"  ","969,071","24,150,476,500",0,0,25.20,25.50,25.50,24.70,,
24/03/2022,25.20,25.20,1.30 (5.44 %),"  ","2,566,972","63,829,870,600",0,0,23.90,23.9,25.30,23.60
22/03/2022,23.80,23.80,0.20 (0.85 %)," ","1,048,693","24,934,435,300","50,000","1,100,000,000",23.60,23.7,24.40,23.60
21/03/2022,23.60,23.60,0.10 (0.43 %)," ","993,123","23,725,550,400",24,"508,800",23.50,24.30,24.50,23.50
18/03/2022,23.50,23.50,-0.80 (-3.29 %)," ","1,423,929","34,110,816,600",0,0,24.30,24.4,24.50,23.50
17/03/2022,24.30,24.30,0.00 (0.00 %)," ","1,458,231","35,888,231,100",0,0,24.30,24.50,25.30,24.10
16/03/2022,24.30,24.30,0.10 (0.41 %)," ","1,429,916","34,704,881,600",0,0,24.20,24.2,24.80,23.90
15/03/2022,24.20,24.20,-0.50 (-2.02 %)," ","1,654,224","40,385,510,700",0,0,24.70,24.60,25.40,23.50
