date,recalibrate,close,change,KLKL,GTKL,KLTT,GTTT,Open,Highest,Lowest
22/04/2022,40.00,40.00,0.00 (0.00 %)," ","375,900","14,858,000,000",0,0,40.00,40.40,38.80
21/04/2022,40.00,40.00,-0.70 (-1.72 %)," ","640,300","24,976,000,000",0,0,39.40,40.00,37.90
20/04/2022,40.70,40.70,-1.00 (-2.40 %)," ","439,800","17,598,000,000","47,650","1,953,650,000",39.90,41.00,39.55
19/04/2022,41.70,41.70,-0.30 (-0.71 %)," ","415,500","17,044,000,000",0,0,42.00,42.00,39.60
18/04/2022,42.00,42.00,-1.00 (-2.33 %)," ","782,400","31,765,000,000",0,0,42.65,42.65,40.00
15/04/2022,43.00,43.00,-2.00 (-4.44 %)," ","498,200","21,608,000,000",0,0,44.95,44.95,43.00
14/04/2022,45.00,45.00,-0.90 (-1.96 %)," ","438,900","19,899,000,000","413,000","17,676,400,000",45.95,46.00,44.20
13/04/2022,45.90,45.90,2.00 (4.56 %)," ","421,700","18,571,000,000","140,000","6,510,000,000",44.30,45.90,43.00
12/04/2022,43.85,43.85,-0.05 (-0.11 %)," ","432,400","19,137,000,000",0,0,43.85,44.90,43.80
08/04/2022,43.85,43.85,-2.15 (-4.67 %)," ","1,066,300","47,420,000,000",0,0,46.00,46.00,43.85
07/04/2022,46.00,46.00,-1.90 (-3.97 %)," ","611,300","28,624,000,000","50,000","2,500,000,000",48.40,48.40,46.00
06/04/2022,47.90,47.90,0.10 (0.21 %)," ","240,900","11,549,000,000","100,000","5,000,000,000",47.60,48.50,47.60
05/04/2022,47.80,47.80,-0.20 (-0.42 %)," ","392,000","18,725,000,000",0,0,47.50,48.80,47.35
04/04/2022,48.00,48.00,-1.00 (-2.04 %)," ","1,045,800","50,536,000,000",0,0,49.10,49.10,48.00
01/04/2022,49.00,49.00,-0.70 (-1.41 %)," ","544,900","26,666,000,000",0,0,49.30,49.70,48.55
31/03/2022,49.65,49.65,0.65 (1.33 %)," ","396,500","19,521,000,000",0,0,49.00,50.00,48.95
30/03/2022,49.00,49.00,-1.30 (-2.58 %)," ","435,300","21,442,000,000","900,000","47,790,000,000",50.20,50.70,48.05
29/03/2022,50.30,50.30,1.50 (3.07 %)," ","511,900","25,636,000,000",0,0,49.00,50.70,49.00
28/03/2022,48.80,48.80,-1.00 (-2.01 %)," ","537,100","26,324,000,000",0,0,49.00,49.60,48.50
25/03/2022,49.75,49.75,-0.35 (-0.70 %)," ","467,700","23,357,000,000",0,0,49.80,50.70,49.65
24/03/2022,50.10,50.10,0.60 (1.21 %)," ","768,300","38,221,000,000","176,000","9,310,400,000",48.60,50.80,48.60
23/03/2022,49.50,49.50,-1.90 (-3.70 %)," ","976,100","48,981,000,000","25,000","1,372,500,000",51.20,51.30,49.50
22/03/2022,51.40,51.40,-0.50 (-0.96 %)," ","578,700","29,857,000,000",0,0,52.20,52.50,51.00
21/03/2022,51.90,51.90,0.10 (0.19 %)," ","453,700","23,390,000,000",0,0,52.50,52.50,51.00
18/03/2022,51.80,51.80,0.00 (0.00 %)," ","659,500","34,102,000,000",0,0,51.80,52.90,51.00
17/03/2022,51.80,51.80,-0.50 (-0.96 %)," ","364,900","18,938,000,000",0,0,52.10,52.60,51.00
16/03/2022,52.30,52.30,0.30 (0.58 %)," ","471,200","24,486,000,000",0,0,52.20,52.80,51.00
