04/05/2022,8.50,8.50,8.50,0.20 (2.41 %)," ","416,629","3,557,063,100",0,0,8.30,8.30,8.80,8.30
29/04/2022,8.30,8.30,8.30,0.10 (1.22 %)," ","354,400","2,924,460,000",0,0,8.20,8.2,8.40,8.10
28/04/2022,8.30,8.30,8.30,0.40 (5.06 %)," ","375,600","3,080,960,000",0,0,7.90,8.10,8.30,8.10
27/04/2022,8.00,8.00,8.00,0.50 (6.67 %)," ","315,900","2,496,140,000",0,0,7.50,7.8,8.20,7.60
26/04/2022,7.80,7.80,7.80,0.10 (1.30 %)," ","406,968","3,049,987,600",0,0,7.70,7.70,7.80,7.10
25/04/2022,7.60,7.60,7.60,-0.10 (-1.30 %)," ","265,200","2,038,460,000",0,0,7.70,7.9,8.10,7.40
22/04/2022,7.80,7.80,7.80,0.50 (6.85 %)," ","466,800","3,589,470,000",0,0,7.30,7.30,8.10,7.30
21/04/2022,7.40,7.40,7.40,-0.90 (-10.84 %)," ","1,497,700","10,910,040,000",0,0,8.30,8.1,8.10,7.10
20/04/2022,8.10,8.10,8.10,-0.70 (-7.95 %)," ","547,700","4,546,750,000",0,0,8.80,8.70,8.80,7.90
19/04/2022,8.40,8.40,8.40,-0.80 (-8.70 %)," ","578,318","5,072,441,000",0,0,9.20,9.1,9.20,8.00
18/04/2022,9.00,9.00,9.00,-0.90 (-9.09 %)," ","628,669","5,792,238,600",0,0,9.90,9.90,9.90,8.90
14/04/2022,10.10,10.10,10.10,0.20 (2.02 %)," ","249,605","2,515,280,000",0,0,9.90,10.0,10.30,9.90
13/04/2022,10.10,10.10,10.10,0.00 (0.00 %)," ","334,400","3,323,440,000",0,0,10.10,9.90,10.10,9.70
12/04/2022,9.90,9.90,9.90,-0.50 (-4.81 %)," ","497,900","5,016,710,000",0,0,10.40,10.5,10.50,9.90
08/04/2022,10.30,10.30,10.30,-0.30 (-2.83 %)," ","418,323","4,348,073,600",0,0,10.60,10.60,10.60,10.30
07/04/2022,10.60,10.60,10.60,-0.10 (-0.93 %)," ","447,840","4,738,684,000",0,0,10.70,10.7,10.70,10.50
06/04/2022,10.80,10.80,10.80,0.00 (0.00 %)," ","341,845","3,659,871,800",0,0,10.80,10.70,10.80,10.60
05/04/2022,10.80,10.80,10.80,0.00 (0.00 %)," ","348,030","3,774,977,000",0,0,10.80,10.9,10.90,10.80
04/04/2022,10.90,10.90,10.90,0.30 (2.83 %)," ","441,700","4,784,350,000",0,0,10.60,10.90,10.90,10.70
01/04/2022,10.80,10.80,10.80,-0.10 (-0.92 %)," ","835,700","8,863,450,000",0,0,10.90,10.8,10.90,10.50
"                GD khớp lệnh"
"                GD thỏa thuận"
"                Giá  tham chiếu"
,Giá mở cửa
"                Giá cao nhất"
"                Giá thấp nhất"
"            "
"            "
"                KL"
"                GT"
"                KL"
"                GT"
"                 "
"       "
"    "
"        "
,,04/05/2022
,,8.50
,,8.50
,,8.50
,,0.20 (2.41 %)
,,"  "
,,"416,629"
,,"3,557,063,100"
,,0
,,0
,,8.30
,,8.30
,,8.80
,,8.30
,
,
"    "
"        "
,,29/04/2022
,,8.30
,,8.30
,,8.30
,,0.10 (1.22 %)
,,"  "
,,"354,400"
,,"2,924,460,000"
,,0
,,0
,,8.20
,,8.2
,,8.40
,,8.10
,
,
"    "
"        "
,,28/04/2022
,,8.30
,,8.30
,,8.30
,,0.40 (5.06 %)
,,"  "
,,"375,600"
,,"3,080,960,000"
,,0
,,0
,,7.90
,,8.10
,,8.30
,,8.10
,
,
"    "
"        "
,,27/04/2022
,,8.00
,,8.00
,,8.00
,,0.50 (6.67 %)
,,"  "
,,"315,900"
,,"2,496,140,000"
,,0
,,0
,,7.50
,,7.8
,,8.20
,,7.60
,
,
"    "
"        "
,,26/04/2022
,,7.80
,,7.80
,,7.80
,,0.10 (1.30 %)
,,"  "
,,"406,968"
,,"3,049,987,600"
,,0
,,0
,,7.70
,,7.70
,,7.80
,,7.10
,
,
"    "
"        "
,,25/04/2022
,,7.60
,,7.60
,,7.60
,,-0.10 (-1.30 %)
,,"  "
,,"265,200"
,,"2,038,460,000"
,,0
,,0
,,7.70
,,7.9
,,8.10
,,7.40
,
,
"    "
"        "
,,22/04/2022
,,7.80
,,7.80
,,7.80
,,0.50 (6.85 %)
,,"  "
,,"466,800"
,,"3,589,470,000"
,,0
,,0
,,7.30
,,7.30
,,8.10
,,7.30
,
,
"    "
"        "
,,21/04/2022
,,7.40
,,7.40
,,7.40
,,-0.90 (-10.84 %)
,,"  "
,,"1,497,700"
,,"10,910,040,000"
,,0
,,0
,,8.30
,,8.1
,,8.10
,,7.10
,
,
"    "
"        "
,,20/04/2022
,,8.10
,,8.10
,,8.10
,,-0.70 (-7.95 %)
,,"  "
,,"547,700"
,,"4,546,750,000"
,,0
,,0
,,8.80
,,8.70
,,8.80
,,7.90
,
,
"    "
"        "
,,19/04/2022
,,8.40
,,8.40
,,8.40
,,-0.80 (-8.70 %)
,,"  "
,,"578,318"
,,"5,072,441,000"
,,0
,,0
,,9.20
,,9.1
,,9.20
,,8.00
,
,
"    "
"        "
,,18/04/2022
,,9.00
,,9.00
,,9.00
,,-0.90 (-9.09 %)
,,"  "
,,"628,669"
,,"5,792,238,600"
,,0
,,0
,,9.90
,,9.90
,,9.90
,,8.90
,
,
"    "
"        "
,,14/04/2022
,,10.10
,,10.10
,,10.10
,,0.20 (2.02 %)
,,"  "
,,"249,605"
,,"2,515,280,000"
,,0
,,0
,,9.90
,,10.0
,,10.30
,,9.90
,
,
"    "
"        "
,,13/04/2022
,,10.10
,,10.10
,,10.10
,,0.00 (0.00 %)
,,"  "
,,"334,400"
,,"3,323,440,000"
,,0
,,0
,,10.10
,,9.90
,,10.10
,,9.70
,
,
"    "
"        "
