date,close,change,KLKL,GTKL,KLTT,GTTT,Open,Highest,Lowest
21/04/2022,"1,370.21",-36.24 (-2.58 %)," ","741,348,500","21,981,392,835,120","69,325,233","1,805,906,164,880","1,369.80","1,392.33","1,356.58"
19/04/2022,"1,406.45",-65.67 (-4.46 %)," ","666,337,000","20,896,310,846,000",0,0,"1,435.82","1,442.04","1,406.45"
14/04/2022,"1,472.12",-5.08 (-0.34 %)," ","498,914,000","17,238,582,930,000","24,455,795","1,264,882,070,000","1,483.08","1,484.34","1,471.75"
13/04/2022,"1,477.20",21.95 (1.51 %)," ","636,344,500","19,585,865,581,000","38,446,822","2,476,754,419,000","1,459.48","1,477.20","1,448.52"
12/04/2022,"1,455.25",-26.75 (-1.80 %)," ","629,961,600","20,075,550,590,000","17,379,467","967,729,300,000","1,487.86","1,490.58","1,455.25"
08/04/2022,"1,482.00",-20.35 (-1.35 %)," ","712,360,900","22,392,030,990,000","18,867,724","974,976,510,000","1,504.31","1,507.73","1,482.00"
07/04/2022,"1,502.35",-20.55 (-1.35 %)," ","727,039,800","25,147,148,360,000","25,119,770","1,663,701,950,000","1,524.12","1,524.92","1,502.35"
06/04/2022,"1,522.90",2.87 (0.19 %)," ","873,777,900","28,610,570,060,000","31,244,697","1,306,976,280,000","1,510.69","1,523.75","1,507.62"
05/04/2022,"1,520.03",-4.67 (-0.31 %)," ","631,745,800","20,452,320,070,000","36,518,100","1,136,703,610,000","1,521.37","1,527.57","1,519.28"
04/04/2022,"1,524.70",8.26 (0.54 %)," ","697,174,200","25,147,324,300,000","32,015,636","1,076,300,040,000","1,528.87","1,530.95","1,522.82"
01/04/2022,"1,516.44",26.96 (1.81 %)," ","890,089,000","24,988,459,670,250","77,583,935","1,710,591,600,000","1,489.48","1,516.87","1,484.13"
31/03/2022,"1,492.15",1.64 (0.11 %)," ","601,257,500","19,905,200,400,000","49,273,020","1,746,046,760,000","1,492.50","1,498.41","1,488.27"
30/03/2022,"1,490.51",-7.25 (-0.48 %)," ","851,999,600","27,708,702,010,000","17,198,400","787,711,790,000","1,491.92","1,503.89","1,483.90"
29/03/2022,"1,497.76",14.58 (0.98 %)," ","658,819,400","21,600,890,690,000","48,019,308","1,748,605,700,000","1,487.57","1,498.45","1,487.57"
28/03/2022,"1,483.18",-15.32 (-1.02 %)," ","956,230,200","30,404,392,550,000","76,503,543","2,388,363,470,000","1,490.28","1,496.79","1,473.80"
25/03/2022,"1,498.50",0.24 (0.02 %)," ","697,177,400","22,540,842,580,000","38,869,978","1,703,484,740,000","1,500.17","1,503.29","1,494.55"
24/03/2022,"1,498.26",-4.08 (-0.27 %)," ","731,841,800","23,599,415,990,000","29,440,231","1,135,127,090,000","1,503.91","1,505.39","1,495.18"
23/03/2022,"1,502.34",-1.44 (-0.10 %)," ","754,499,800","24,089,483,890,000","60,903,132","3,339,080,090,000","1,505.76","1,513.90","1,501.67"
22/03/2022,"1,503.78",8.83 (0.59 %)," ","907,837,000","26,780,916,471,900","39,859,665","1,705,169,090,000","1,500.08","1,507.71","1,498.48"
21/03/2022,"1,494.95",25.85 (1.76 %)," ","728,427,200","21,935,908,393,400","63,729,614","2,288,956,110,000","1,469.10","1,494.95","1,469.10"
